trace_label,judge_a,judge_b,common_rows,mean_normalized_score_delta_a_minus_b,mean_abs_normalized_score_delta,max_abs_normalized_score_delta,final_answer_correct_disagreement_rate
gem31pro,tinker,qwen,149,-0.4915,0.4915,1.0000,0.3557
gem31pro,tinker,llama,149,-0.6552,0.6552,1.0000,0.9732
gem31pro,tinker,nemotron,149,-0.5164,0.5164,1.0000,0.3490
gem31pro,qwen,llama,150,-0.1627,0.2188,1.0000,0.6200
gem31pro,qwen,nemotron,150,-0.0259,0.1822,1.0000,0.0200
gem31pro,llama,nemotron,150,0.1368,0.2356,1.0000,0.6267
gem3flash,tinker,qwen,150,-0.5067,0.5067,1.0000,0.2933
gem3flash,tinker,llama,150,-0.3760,0.3760,1.0000,0.3467
gem3flash,tinker,nemotron,150,-0.5315,0.5315,1.0000,0.3267
gem3flash,qwen,llama,150,0.1307,0.1918,1.0000,0.0533
gem3flash,qwen,nemotron,150,-0.0247,0.1700,1.0000,0.0467
gem3flash,llama,nemotron,150,-0.1555,0.2640,1.0000,0.0733
gemma4-31b,tinker,qwen,150,-0.4389,0.4389,1.0000,0.2733
gemma4-31b,tinker,llama,150,-0.3599,0.3599,1.0000,0.3267
gemma4-31b,tinker,nemotron,150,-0.4390,0.4390,1.0000,0.2733
gemma4-31b,qwen,llama,150,0.0791,0.1370,0.9167,0.0533
gemma4-31b,qwen,nemotron,150,-0.0001,0.1468,0.9778,0.0133
gemma4-31b,llama,nemotron,150,-0.0791,0.1942,0.9881,0.0667
glm-51,tinker,qwen,150,-0.6653,0.6739,1.0000,0.4200
glm-51,tinker,llama,150,-0.5883,0.6014,1.0000,0.5333
glm-51,tinker,nemotron,150,-0.6622,0.6640,1.0000,0.4800
glm-51,qwen,llama,150,0.0770,0.2156,1.0000,0.1267
glm-51,qwen,nemotron,150,0.0031,0.1788,1.0000,0.0867
glm-51,llama,nemotron,150,-0.0739,0.2561,1.0000,0.1467
gpt54mini,tinker,qwen,150,-0.2973,0.2973,1.0000,0.1133
gpt54mini,tinker,llama,150,-0.2152,0.2152,1.0000,0.1133
gpt54mini,tinker,nemotron,150,-0.3055,0.3055,1.0000,0.1333
gpt54mini,qwen,llama,150,0.0822,0.1250,1.0000,0.0000
gpt54mini,qwen,nemotron,150,-0.0081,0.1208,0.8537,0.0333
gpt54mini,llama,nemotron,150,-0.0903,0.1427,1.0000,0.0333
gpt55,tinker,qwen,150,-0.7036,0.7051,1.0000,0.4600
gpt55,tinker,llama,150,-0.5104,0.5210,1.0000,0.5267
gpt55,tinker,nemotron,150,-0.6830,0.6846,1.0000,0.4733
gpt55,qwen,llama,150,0.1931,0.2877,1.0000,0.0800
gpt55,qwen,nemotron,150,0.0205,0.2030,1.0000,0.0533
gpt55,llama,nemotron,150,-0.1726,0.2952,1.0000,0.1333
kimi-k26,tinker,qwen,150,-0.5966,0.5966,1.0000,0.3467
kimi-k26,tinker,llama,142,-0.5542,0.5542,1.0000,0.4718
kimi-k26,tinker,nemotron,150,-0.5579,0.5579,1.0000,0.3533
kimi-k26,qwen,llama,142,0.0456,0.2018,1.0000,0.1479
kimi-k26,qwen,nemotron,150,0.0386,0.1868,1.0000,0.0333
kimi-k26,llama,nemotron,142,-0.0001,0.2833,1.0000,0.1549
opus47,tinker,qwen,148,-0.6891,0.6891,1.0000,0.4932
opus47,tinker,llama,0,,,,
opus47,tinker,nemotron,148,-0.6469,0.6469,1.0000,0.4797
opus47,qwen,llama,0,,,,
opus47,qwen,nemotron,149,0.0416,0.1760,1.0000,0.0940
opus47,llama,nemotron,0,,,,
qwen36-27b,tinker,qwen,150,-0.5976,0.5979,1.0000,0.3200
qwen36-27b,tinker,llama,0,,,,
qwen36-27b,tinker,nemotron,150,-0.5627,0.5627,1.0000,0.3467
qwen36-27b,qwen,llama,0,,,,
qwen36-27b,qwen,nemotron,150,0.0349,0.1986,1.0000,0.0400
qwen36-27b,llama,nemotron,0,,,,
sonnet46,tinker,qwen,149,-0.6975,0.7004,1.0000,0.4362
sonnet46,tinker,llama,149,-0.7824,0.8174,1.0000,1.0000
sonnet46,tinker,nemotron,150,-0.6089,0.6145,1.0000,0.4533
sonnet46,qwen,llama,149,-0.0849,0.2948,1.0000,0.5638
sonnet46,qwen,nemotron,149,0.0893,0.2085,1.0000,0.0805
sonnet46,llama,nemotron,149,0.1742,0.3838,1.0000,0.5503
