trace_label,judge,rows,scored_rows,avg_normalized_score,avg_points_earned,avg_points_possible,final_answer_correct_rate
gem31pro,tinker,149,149,0.0010,0.0336,38.7181,0.0000
gem31pro,qwen,150,150,0.4919,17.6200,38.6200,0.3533
gem31pro,llama,150,150,0.6546,24.0733,38.6200,0.9733
gem31pro,nemotron,150,150,0.5178,19.4867,38.6200,0.3467
gem3flash,tinker,150,150,0.0000,0.0000,38.6200,0.0000
gem3flash,qwen,150,150,0.5067,16.7267,38.6200,0.2933
gem3flash,llama,150,150,0.3760,13.6600,38.6200,0.3467
gem3flash,nemotron,150,150,0.5315,18.2333,38.6200,0.3267
gemma4-31b,tinker,150,150,0.0012,0.0400,38.6200,0.0000
gemma4-31b,qwen,150,150,0.4401,15.0267,38.6200,0.2733
gemma4-31b,llama,150,150,0.3611,12.2733,38.6200,0.3267
gemma4-31b,nemotron,150,150,0.4402,15.7267,38.6200,0.2733
glm-51,tinker,150,150,0.0118,1.0333,38.6200,0.0000
glm-51,qwen,150,150,0.6770,24.7200,38.6200,0.4200
glm-51,llama,150,150,0.6000,22.5667,38.6200,0.5333
glm-51,nemotron,150,150,0.6739,25.5867,38.6200,0.4800
gpt54mini,tinker,150,150,0.0000,0.0000,38.6200,0.0000
gpt54mini,qwen,150,150,0.2973,10.2267,38.6200,0.1133
gpt54mini,llama,150,150,0.2152,7.1867,38.6200,0.1133
gpt54mini,nemotron,150,150,0.3055,10.6867,38.6200,0.1333
gpt55,tinker,150,150,0.0065,0.2200,38.6200,0.0000
gpt55,qwen,150,150,0.7100,25.9333,38.6200,0.4600
gpt55,llama,150,150,0.5169,19.7267,38.6200,0.5267
gpt55,nemotron,150,150,0.6895,25.4733,38.6200,0.4733
kimi-k26,tinker,150,150,0.0000,0.0000,38.6200,0.0000
kimi-k26,qwen,150,150,0.5966,22.1333,38.6200,0.3467
kimi-k26,llama,142,142,0.5542,22.7183,38.7958,0.4718
kimi-k26,nemotron,150,150,0.5579,20.3267,38.6200,0.3533
opus47,tinker,149,149,0.0131,0.3490,38.3289,0.0000
opus47,qwen,149,149,0.7005,26.7919,38.6980,0.4899
opus47,llama,0,0,,,,
opus47,nemotron,149,149,0.6589,25.3221,38.6980,0.4765
qwen36-27b,tinker,150,150,0.0068,0.1667,38.6200,0.0000
qwen36-27b,qwen,150,150,0.6044,21.2267,38.6200,0.3200
qwen36-27b,llama,0,0,,,,
qwen36-27b,nemotron,150,150,0.5696,20.0533,38.6200,0.3467
sonnet46,tinker,150,150,0.0197,0.9467,38.6200,0.0000
sonnet46,qwen,149,149,0.7174,26.6242,38.6980,0.4362
sonnet46,llama,149,149,0.8023,30.6779,38.6980,1.0000
sonnet46,nemotron,150,150,0.6286,24.1933,38.6200,0.4533
