candidate_judge,ground_truth_judge,trace_label,overlap_rows,missing_candidate_rows,missing_truth_rows,final_answer_compared,final_answer_agreement,final_answer_tp,final_answer_fp,final_answer_tn,final_answer_fn,rubric_line_compared,rubric_line_agreement,rubric_vector_compared,rubric_vector_agreement,rubric_length_mismatches,points_mae,normalized_points_mae,points_pearson,normalized_points_pearson
tinker,gemini,gem31pro,149,1,0,149,0.657718,0,0,98,51,2365,0.603383,149,0.187919,0,12.201342,0.361657,-0.051502,-0.058028
tinker,gemini,gem3flash,150,0,0,150,0.720000,0,0,108,42,2379,0.535939,150,0.193333,0,14.100000,0.431043,,
tinker,gemini,gemma4-31b,150,0,0,150,0.760000,0,0,114,36,2379,0.615805,150,0.226667,0,11.533333,0.351860,-0.036481,-0.041728
tinker,gemini,glm-51,150,0,0,150,0.593333,0,0,89,61,2379,0.429172,150,0.080000,0,18.600000,0.528356,0.306840,0.064692
tinker,gemini,gpt54mini,150,0,0,150,0.893333,0,0,134,16,2379,0.725515,150,0.293333,0,7.013333,0.218118,,
tinker,gemini,gpt55,150,0,0,150,0.540000,0,0,81,69,2379,0.415301,150,0.040000,0,20.366667,0.564517,-0.025486,-0.027577
tinker,gemini,kimi-k26,150,0,0,150,0.680000,0,0,102,48,2379,0.501892,150,0.186667,0,15.946667,0.455871,,
tinker,gemini,opus47,149,1,0,149,0.536913,0,0,80,69,2324,0.386403,149,0.046980,0,20.449664,0.564986,-0.024855,0.059798
tinker,gemini,qwen36-27b,150,0,0,150,0.673333,0,0,101,49,2379,0.498949,150,0.100000,0,15.553333,0.464348,0.046715,0.116474
tinker,gemini,sonnet46,150,0,0,150,0.593333,0,0,89,61,2379,0.391761,150,0.060000,0,19.620000,0.558201,0.262792,0.108726
tinker,opus,gem31pro,149,1,0,149,0.657718,0,0,98,51,2365,0.517970,149,0.154362,0,15.221477,0.446216,-0.051788,-0.062163
tinker,opus,gem3flash,150,0,0,150,0.720000,0,0,108,42,2379,0.522068,150,0.173333,0,13.900000,0.426359,,
tinker,opus,gemma4-31b,150,0,0,150,0.753333,0,0,113,37,2379,0.589323,150,0.206667,0,12.246667,0.378693,-0.050118,-0.057928
tinker,opus,glm-51,150,0,0,150,0.593333,0,0,89,61,2379,0.398907,150,0.046667,0,19.000000,0.542833,0.382450,0.109653
tinker,opus,gpt54mini,150,0,0,150,0.886667,0,0,133,17,2379,0.682640,150,0.226667,0,8.006667,0.248059,,
tinker,opus,gpt55,150,0,0,150,0.546667,0,0,82,68,2379,0.337116,150,0.020000,0,21.986667,0.620879,-0.007124,-0.003035
tinker,opus,kimi-k26,150,0,0,150,0.680000,0,0,102,48,2379,0.474569,150,0.166667,0,16.333333,0.472196,,
tinker,opus,opus47,149,1,0,149,0.550336,0,0,82,67,2324,0.354131,149,0.046980,0,21.382550,0.578875,-0.022869,0.067505
tinker,opus,qwen36-27b,150,0,0,150,0.673333,0,0,101,49,2379,0.472467,150,0.100000,0,15.920000,0.478749,0.044127,0.110770
tinker,opus,sonnet46,150,0,0,150,0.593333,0,0,89,61,2379,0.368642,150,0.040000,0,20.286667,0.572617,0.254808,0.110858
