bf_qid,label_qid,workflow,skill,difficulty,difficulty_quartile
bf-0a8c20169a,5cdf60609204,Governance & Compensation,Cross-Filing Synthesis,0.625000,2
bf-0e2b33b21b,1c196eb46d02,Earnings Quality & FSA,Accounting Adjustment,0.453704,2
bf-14e00db503,17004c2ee5d5,Capital Structure & Returns,Single-Filing Lookup,0.992754,3
bf-20474b5540,a2b0cf3c5298,Capital Structure & Returns,Single-Filing Lookup,0.522222,2
bf-2c01534176,bb73aaa3039b,Capital Structure & Returns,Cross-Filing Synthesis,0.319444,1
bf-36d4a10aa8,8d60241efd4e,Other / Misc Lookup,Cross-Filing Synthesis,0.957207,3
bf-37f81aef9b,8938ffdd7748,KPIs & Unit Economics,Quantitative Modeling,0.608025,2
bf-39bacf8580,71b3acbd764e,KPIs & Unit Economics,Accounting Adjustment,0.846667,3
bf-3b698728de,3ed3611702ef,Valuation & Multiples,External / Market Data,0.000000,0
bf-472ca86db1,a6729997c4fb,Scenarios & Forecasting,Quantitative Modeling,0.397436,1
bf-50f29af2ed,adad0839fdf0,Private Capital & Buyside,Quantitative Modeling,0.453252,2
bf-51844d71db,c18bf7f8765a,M&A & Special Situations,Quantitative Modeling,0.320707,1
bf-55f33faa82,828488e318b7,Private Capital & Buyside,External / Market Data,0.118056,0
bf-5b4cd39939,f65fe657f3f2,Valuation & Multiples,External / Market Data,0.029321,0
bf-66ccc5d04a,4539174d20a1,Capital Structure & Returns,Accounting Adjustment,0.194444,0
bf-6bd9e9e383,52f431ec2e93,Earnings Quality & FSA,Single-Filing Lookup,1.000000,3
bf-6fb17b7f3d,9b1743703d06,Earnings Quality & FSA,Accounting Adjustment,0.294444,1
bf-712e20a246,db91799638ed,KPIs & Unit Economics,Cross-Filing Synthesis,1.000000,3
bf-77a2cbc3ee,e50ecd87c718,KPIs & Unit Economics,Cross-Filing Synthesis,0.155172,0
bf-80a8d42d12,ff7fade078b2,KPIs & Unit Economics,Cross-Filing Synthesis,0.083333,0
bf-80db2fdd07,42ec2217c727,KPIs & Unit Economics,Accounting Adjustment,0.912698,3
bf-87f9ec55fa,efe38081d48a,Private Capital & Buyside,Quantitative Modeling,0.277211,1
bf-8ccf07aa37,15a3eb4c080d,Earnings Quality & FSA,Accounting Adjustment,0.231061,1
bf-8d95e11919,d8605c83d7a7,Valuation & Multiples,Single-Filing Lookup,0.552632,2
bf-9e1fff9250,9e9c5e4572b0,M&A & Special Situations,Quantitative Modeling,0.078431,0
bf-9fb74e0fff,93229fe69c99,KPIs & Unit Economics,Quantitative Modeling,0.031863,0
bf-a45651184d,422717bc6c0a,Valuation & Multiples,Quantitative Modeling,0.416667,1
bf-a6ecc2c171,4370ce84cd06,KPIs & Unit Economics,Single-Filing Lookup,1.000000,3
bf-a838bf1b8e,7cfe26f8a602,Capital Markets & Trading,External / Market Data,0.065079,0
bf-a9408e6a52,6aeae527911e,M&A & Special Situations,Cross-Filing Synthesis,0.511905,2
bf-aedffb054a,f1166485e169,M&A & Special Situations,Quantitative Modeling,1.000000,3
bf-b0926059cd,0620d1d00c3c,KPIs & Unit Economics,Cross-Filing Synthesis,0.313187,1
bf-b9eac17de3,4220ad3ead4c,Private Capital & Buyside,Quantitative Modeling,0.953488,3
bf-bc7e63859f,7c4a0c2cca1a,KPIs & Unit Economics,Cross-Filing Synthesis,0.673611,2
bf-c40881c993,ebc886a934e8,Scenarios & Forecasting,Forward / Scenario,0.565104,2
bf-c664c596ed,5685abb53da4,Scenarios & Forecasting,Forward / Scenario,0.877778,3
bf-c75541fef6,6d7edae5adee,KPIs & Unit Economics,Single-Filing Lookup,0.083333,0
bf-c97cd6fa17,8918feffaf6c,KPIs & Unit Economics,Cross-Filing Synthesis,0.372396,1
bf-d0e8d00008,273285141143,Earnings Quality & FSA,Accounting Adjustment,0.478395,2
bf-d1228a30ce,0a649a19ac44,Earnings Quality & FSA,Cross-Filing Synthesis,1.000000,3
bf-dc4465e435,e57c7d3822d2,M&A & Special Situations,External / Market Data,0.339506,1
bf-dd28f22b19,d9edb3740a1c,KPIs & Unit Economics,Cross-Filing Synthesis,0.733333,2
bf-de888bed80,632605f7c95d,KPIs & Unit Economics,Quantitative Modeling,0.922840,3
bf-dfbfada14f,e63234859d24,M&A & Special Situations,External / Market Data,0.180952,0
bf-ea4ca2ff65,65fe415c5c6b,Capital Structure & Returns,Forward / Scenario,0.288462,1
bf-ec1b0219ac,b844a532d29e,KPIs & Unit Economics,Single-Filing Lookup,0.370370,1
bf-f6817f623b,220941458c9f,KPIs & Unit Economics,Cross-Filing Synthesis,0.544118,2
bf-fc3be3969d,ecb68edfd916,Earnings Quality & FSA,Accounting Adjustment,0.083333,0
bf-fcb94dc80c,0dd2456583c7,Scenarios & Forecasting,Forward / Scenario,0.214286,0
bf-fdfa344920,33a26cbb9862,Scenarios & Forecasting,Forward / Scenario,0.772727,3
